Carrier,L1,L2,L3,L4,L5
RITORICA ,tech.support@ritorica.eu,y.remez@ritorica.eu,e.rudovich@ritorica.eu,,
Rouchmag,support@rouchmag.com,jigyasha@rouchmag.com,,,
Route Mobile,Helpdesk@routemobile.com,support@routemobile.com,ramesh@routemobile.com,,
Scaffnet,customer.support@scaffnet.com,,,,
Scarpel,support@scarpeltele.com,accounting@scarpeltele.com,n.abashina@scarpeltele.com,,
Shansi,sms.support@shansi.in,aakanksha@shansi.in,,,
Sify,noc.isms@sifycorp.com,sandeep.nair@sifycorp.com,,,
SIGNTAPER TECHNOLOGIES (D7 Network),Support@d7networks.com,emanuel@d7networks.com,,,
Silverstreet,support@silverstreet.com,Hemant.gusain@sopranodesign.com,,,
Six Five,helpdesk@sixfive.com,finance@sixfive.com,,,
SMAP Telecom,noc@smap.co.il,hengameh@smap.co.il,,,
Smart Tech,support@st-messaging.com,,,,
SMS Cloud HUB,support@smscloudhub.com,ila.araval@smscloudhub.com,,,
SMS Highway,support@smshighway.com,ivan.jovanovic@smshighway.com,john.murtagh@smshighway.com,Stefan.olaru@smshighway.com,
SMS Masking (PT Ovel),support@smsMasking.id,,,,
Sprint,support@sprintsmsservice.com,singh.d@sprintsmsservice.com,vaibhav@sprintsmsservice.com,,
Star Global,support@starglobalsolutions.in,ravi@starglobalsolutions.in,,,
Swipe,support@swipemessage.net,yash@swipemessage.net,,,
Tata,mobilecustomer.service@tatacommunications.com;MMX.Provisioning@tatacommunications.com,saravanakumar.k@tatacommunications.com;s.subramanian@tatacommunications.com,,,
TECHALPHA GROUP,support@techalphagroup.com,shubhamk@techalphagroup.com,,,
Tedexis,support@tedexis.com;biz@tedexis.com,biz@tedexis.com,ngonzalez@tedexis.com,,
Telco Infinity Communication FZC LLC,servicedesk@telcoinfinity.com,sami@telcoinfinity.com,,,
Telecall,n/a,,,,
Telesign,support@telesign.com,kbaldry@telesign.com,,,
T-MOB,noc@t-mobs.com,,,,
Toky Digital,support@tokydigital.it,Carlucci@tokydigital.it,,,
Topying,noc@topying.net,coco@topying.net,,,
Total SMS,helpdesk@total-sms.com,,,,
Traffilink,noc@traffilink.com,sophie@traffilink.com,sheryl@traffilink.com,,
Transland (TIG),ir-operationteam@253.com,wengtingting@253.com,,,
TSG,support.sms@tsgcarrier.com,aarifa.choudhary@tsgcarrier.com,,,
TXT,Noc.sms@txtbridge.com,akhalife@txtbridge.com,,,
U2opia,msgc-support@u2opiamobile.com,saurabh.tiwari@messagecentral.com,Abhishek.rai@messagecentral.com,,
Ultranet,noc.sms@ultranetgh.com,,,,
Uniquantum,sms.noc@uqsng.com,bd@uqsng.com,,,
Universal Call Limited (UCL),smsnoc@unicalltd.com,,,,
VALLEY TECHNOLOGIES LIMITED,noc.sms@valleytechltd.com,srinu.ambala@valleytechltd.com,,,
Vesper,sms.noc@vespertelecom.com,sahil@vespertelecom.com,,,
Viva Connect,support@helo.ai,vicky.singh@helo.ai,shashi@helo.ai,,
Voiceconnect,noc@voiceconnect.co.in,,,,
VoipBoxx,sms.noc@voipboxx.com,,,,
Volumes,noc.sms@volumes.uk.com,,,,
"Volumes International, Ltd",noc.sms@volumes.uk.com,alex.levi@volumes.uk.com,,,
Vonage,support@api.vonage.com,,,,
Vonip,support@vonip.net,naveen@vonip.net,,,
WAYVZ,support@wayvzgroup.com,amer@wayvzgroup.com,,,
Wide International Interconnect,sms.support@wiitelecom.com,sales@wiitelecom.com,,,
Wireless,sms.support@wcomm.org,indu@vadpl.com,,,
World Fax (HK Kwaifong Group Limited),noc@hkkfgroup.com,sales43@world-fax.com,,,
XL Digital,smssupport@xldigital.biz,chitranjali@xldigital.biz,ceo@xldigital.biz,,
YCloud,chen.f@ycloud.com
